X190	XML(SEQUENCE) type			NO		
X191	XML(DOCUMENT(XMLSCHEMA)) type			NO		
X192	XML(CONTENT(XMLSCHEMA)) type			NO		
X200	XMLQuery			NO		
X201	XMLQuery: RETURNING CONTENT			NO		
X202	XMLQuery: RETURNING SEQUENCE			NO		
X203	XMLQuery: passing a context item			NO		
X204	XMLQuery: initializing an XQuery variable			NO		
X205	XMLQuery: EMPTY ON EMPTY option			NO		
X206	XMLQuery: NULL ON EMPTY option			NO		
X211	XML 1.1 support			NO		
X221	XML passing mechanism BY VALUE			NO		
X222	XML passing mechanism BY REF			NO		
X231	XML(CONTENT(UNTYPED)) type			NO		
X232	XML(CONTENT(ANY)) type			NO		
X241	RETURNING CONTENT in XML publishing			NO		
X242	RETURNING SEQUENCE in XML publishing			NO		
X251	Persistent XML values of XML(DOCUMENT(UNTYPED)) type			NO		
X252	Persistent XML values of XML(DOCUMENT(ANY)) type			NO		
X253	Persistent XML values of XML(CONTENT(UNTYPED)) type			NO		
X254	Persistent XML values of XML(CONTENT(ANY)) type			NO		
X255	Persistent XML values of XML(SEQUENCE) type			NO		
X256	Persistent XML values of XML(DOCUMENT(XMLSCHEMA)) type			NO		
X257	Persistent XML values of XML(CONTENT(XMLSCHEMA)) type			NO		
X260	XML type: ELEMENT clause			NO		
X261	XML type: NAMESPACE without ELEMENT clause			NO		
X263	XML type: NO NAMESPACE with ELEMENT clause			NO		
X264	XML type: schema location			NO		
X271	XMLValidate: data-driven case			NO		
X272	XMLValidate: ACCORDING TO clause			NO		
X273	XMLValidate: ELEMENT clause			NO		
X274	XMLValidate: schema location			NO		
X281	XMLValidate: with DOCUMENT option			NO		
X282	XMLValidate with CONTENT option			NO		
X283	XMLValidate with SEQUENCE option			NO		
X284	XMLValidate NAMESPACE without ELEMENT clause			NO		
X286	XMLValidate: NO NAMESPACE with ELEMENT clause			NO		
X300	XMLTable			NO		
X301	XMLTable: derived column list option			NO		
X302	XMLTable: ordinality column option			NO		
X303	XMLTable: column default option			NO		
X304	XMLTable: passing a context item			NO		
X305	XMLTable: initializing an XQuery variable			NO		
X400	Name and identifier mapping			NO		
X410	Alter column data type: XML type			NO		
